entity_id,state,last_changed
sensor.available_current_l1,10,2025-05-01T12:04:14.087Z
sensor.available_current_l1,12,2025-05-01T12:04:15.435Z
sensor.available_current_l1,9,2025-05-01T12:06:54.064Z
sensor.available_current_l1,12,2025-05-01T12:06:55.399Z
sensor.available_current_l1,9,2025-05-01T12:07:38.146Z
sensor.available_current_l1,11,2025-05-01T12:07:39.454Z
sensor.available_current_l1,12,2025-05-01T12:07:40.868Z
sensor.available_current_l1,21,2025-05-01T12:07:46.936Z
sensor.available_current_l1,19,2025-05-01T12:08:44.258Z
sensor.available_current_l1,21,2025-05-01T12:08:45.390Z
sensor.available_current_l1,17,2025-05-01T12:09:28.137Z
sensor.available_current_l1,21,2025-05-01T12:09:29.491Z
sensor.available_current_l1,19,2025-05-01T12:11:20.832Z
sensor.available_current_l1,21,2025-05-01T12:11:21.907Z
sensor.available_current_l1,20,2025-05-01T12:13:10.560Z
sensor.available_current_l1,21,2025-05-01T12:13:11.858Z
sensor.available_current_l1,22,2025-05-01T12:13:14.410Z
sensor.available_current_l1,21,2025-05-01T12:13:20.113Z
sensor.available_current_l1,22,2025-05-01T12:13:21.428Z
sensor.available_current_l1,21,2025-05-01T12:13:28.149Z
sensor.available_current_l1,22,2025-05-01T12:13:42.996Z
sensor.available_current_l1,21,2025-05-01T12:13:43.998Z
sensor.available_current_l1,22,2025-05-01T12:13:46.876Z
sensor.available_current_l1,21,2025-05-01T12:13:47.878Z
sensor.available_current_l1,18,2025-05-01T12:14:12.462Z
sensor.available_current_l1,20,2025-05-01T12:14:13.863Z
sensor.available_current_l1,21,2025-05-01T12:14:14.901Z
sensor.available_current_l1,17,2025-05-01T12:14:57.455Z
sensor.available_current_l1,21,2025-05-01T12:14:58.835Z
sensor.available_current_l1,19,2025-05-01T12:15:16.882Z
sensor.available_current_l1,21,2025-05-01T12:15:17.883Z
sensor.available_current_l1,19,2025-05-01T12:16:06.098Z
sensor.available_current_l1,21,2025-05-01T12:16:07.403Z
sensor.available_current_l1,20,2025-05-01T12:17:51.299Z
sensor.available_current_l1,21,2025-05-01T12:17:52.435Z
sensor.available_current_l1,20,2025-05-01T12:18:35.926Z
sensor.available_current_l1,21,2025-05-01T12:18:36.928Z
sensor.available_current_l1,20,2025-05-01T12:19:48.422Z
sensor.available_current_l1,21,2025-05-01T12:19:49.576Z
sensor.available_current_l1,20,2025-05-01T12:20:20.785Z
sensor.available_current_l1,19,2025-05-01T12:20:23.412Z
sensor.available_current_l1,18,2025-05-01T12:20:24.427Z
sensor.available_current_l1,17,2025-05-01T12:20:25.863Z
sensor.available_current_l1,16,2025-05-01T12:20:27.092Z
sensor.available_current_l1,15,2025-05-01T12:21:17.416Z
sensor.available_current_l1,16,2025-05-01T12:21:18.433Z
sensor.available_current_l1,unavailable,2025-05-01T12:21:32.939Z
sensor.available_current_l1,16,2025-05-01T12:21:34.834Z
sensor.available_current_l1,14,2025-05-01T12:23:12.210Z
sensor.available_current_l1,16,2025-05-01T12:23:14.943Z
sensor.available_current_l1,17,2025-05-01T12:23:22.187Z
sensor.available_current_l1,16,2025-05-01T12:23:23.533Z
sensor.available_current_l1,13,2025-05-01T12:24:17.567Z
sensor.available_current_l1,16,2025-05-01T12:24:18.951Z
sensor.available_current_l1,17,2025-05-01T12:24:50.929Z
sensor.available_current_l1,16,2025-05-01T12:25:17.509Z
sensor.available_current_l1,17,2025-05-01T12:25:21.077Z
sensor.available_current_l1,16,2025-05-01T12:25:47.157Z
sensor.available_current_l1,17,2025-05-01T12:25:48.437Z
sensor.available_current_l1,16,2025-05-01T12:26:07.917Z
sensor.available_current_l1,17,2025-05-01T12:26:28.408Z
sensor.available_current_l1,16,2025-05-01T12:26:33.041Z
sensor.available_current_l1,17,2025-05-01T12:26:34.414Z
sensor.available_current_l1,16,2025-05-01T12:26:44.802Z
sensor.available_current_l1,17,2025-05-01T12:26:47.122Z
sensor.available_current_l1,16,2025-05-01T12:27:02.474Z
sensor.available_current_l1,13,2025-05-01T12:27:03.818Z
sensor.available_current_l1,17,2025-05-01T12:27:04.879Z
sensor.available_current_l1,14,2025-05-01T12:27:47.084Z
sensor.available_current_l1,15,2025-05-01T12:27:48.805Z
sensor.available_current_l1,17,2025-05-01T12:27:49.870Z
sensor.available_current_l1,14,2025-05-01T12:28:53.201Z
sensor.available_current_l1,17,2025-05-01T12:28:54.608Z
sensor.available_current_l1,16,2025-05-01T12:29:11.920Z
sensor.available_current_l1,13,2025-05-01T12:29:37.793Z
sensor.available_current_l1,16,2025-05-01T12:29:38.795Z
sensor.available_current_l1,13,2025-05-01T12:30:22.612Z
sensor.available_current_l1,16,2025-05-01T12:30:23.847Z
sensor.available_current_l1,15,2025-05-01T12:30:58.427Z
